#       MP2-9               MP2-6              6     D'AnExp KutExp  KutExp   KutTeo KutTeo BuzExp BuzTeo MP2/SPP9 MP2/SPP8 MP2CaBe9 MP2CaBe8 MP2CEP9 MP2CEP8 B3P86CEP9 B3P86CEP8 Ciupka9 Ciupka8 MP2/Yan SCS-MP2-PCM/Stoll
"La"   2.61957   3.30597   2.58445   3.27251   0      2.600   Nan     2.58     2.58   2.62   Nan    Nan     2.580    Nan     2.586    2.549    2.645    2.609    2.609    2.573    2.591   2.558  2.59454  2.59255
"Ce"   2.59853   3.28505   2.56261   3.25082   1      2.570   Nan     2.52     2.55   2.59   2.53   2.564    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.571   2.537     Nan      Nan
"Pr"   2.57988   3.26648   2.54286   3.23116   2      2.550   Nan     2.539    2.53   2.57   2.54   2.549    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.551   2.517     Nan      Nan
"Nd"   2.56283   3.24955   2.52479   3.21316   3      2.525   Nan     2.51     2.51   2.55   2.61   2.535    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.535   2.500     Nan      Nan
"Pm"   2.54710   3.23389   2.50788   3.19637   4      Nan     Nan     Nan      2.50   2.54   Nan    2.52     Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.518   2.483     Nan      Nan
"Sm"   2.53199   3.21887   2.49182   3.18040   5      2.490   Nan     2.47     2.48   2.52   2.50   2.505    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.503   2.468     Nan      Nan
"Eu"   2.51671   3.20362   2.47558   3.16416   6      2.470   2.45    2.457    2.47   2.51   2.455  2.496    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.488   2.452    2.496  2.48895
"Gd"   2.50280   3.18968   2.46092   3.14944   7      2.455   2.41    2.446    2.45   2.50   2.416  2.480    Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.475   2.439    2.484  2.479
"Tb"   2.49021   3.17709   2.44692   3.13552   8      2.440   2.39    2.430    2.45   2.50   Nan    Nan      Nan     Nan      Nan      Nan      Nan      Nan      Nan      Nan     2.462   2.425    2.471    2.458


